Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017]
Annual freshwater withdrawals, total (% of internal resources),ER.H2O.FWTL.ZS,Australia,AUS,..,..,..,..,..,..,3.14024390243902,..,3.14024390243902,..,..,..
Annual freshwater withdrawals, total (% of internal resources),ER.H2O.FWTL.ZS,China,CHN,..,..,..,..,..,..,21.3224315677213,..,21.3224315677213,..,..,..
Annual freshwater withdrawals, total (% of internal resources),ER.H2O.FWTL.ZS,Netherlands,NLD,..,..,..,..,..,..,97.4545454545455,..,97.4545454545455,..,..,..
Annual freshwater withdrawals, total (% of internal resources),ER.H2O.FWTL.ZS,Tunisia,TUN,..,..,..,..,..,..,76.6865315852205,..,76.6865315852205,..,..,..
Annual freshwater withdrawals, total (% of internal resources),ER.H2O.FWTL.ZS,South Asia (IDA & IBRD),TSA,..,..,..,..,..,..,..,..,44.7786998616874,..,..,..
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,
Last Updated: 09/21/2018,,,,,,,,,,,,,,,
